food_name,category,calories,protein,carbs,fat,iron,vitamin_c,protein_per_100_cal
"Strawberry milk, whole","Flavored milk, whole",86.0,3.03,11.79,2.97,0.03,0.0,3.523255813953488
"Fast foods, sundae, strawberry",Fast Foods,732.0,4.09,29.2,5.13,0.21,1.3,0.558743169398907
"Kefir, lowfat, strawberry, LIFEWAY",Dairy and Egg Products,62.0,3.39,10.2,0.9,0.04,1.5,5.467741935483871
SILK Strawberry soy yogurt,Legumes and Legume Products,94.0,2.35,18.2,1.18,0.64,17.6,2.5
"Strawberries, frozen, sweetened, sliced",Fruits and Fruit Juices,402.0,0.53,25.9,0.13,0.59,41.4,0.1318407960199005
"Blueberries, raw",Blueberries and other berries,64.0,0.7,14.57,0.31,0.34,8.1,1.09375
"Blueberries, frozen",Blueberries and other berries,51.0,0.42,12.17,0.64,0.18,2.5,0.8235294117647057
"Blueberries, dried",Dried fruits,317.0,2.5,80.0,2.5,0.9,23.8,0.7886435331230284
Blueberry juice,Other fruit juice,42.0,0.46,9.47,0.2,0.22,5.3,1.0952380952380953
Blueberry syrup,"Jams, syrups, toppings",341.0,0.0,85.13,0.0,0.04,1.6,0.0
"Pie, blueberry",Cakes and pies,300.0,2.82,37.95,15.52,1.21,1.1,0.9399999999999998
"Blueberries, dried, sweetened",Fruits and Fruit Juices,1330.0,2.5,80.0,2.5,0.9,23.8,0.18796992481203006
"Blueberries, frozen, sweetened",Fruits and Fruit Juices,355.0,0.4,22.0,0.13,0.39,1.0,0.11267605633802817
Blueberry pie filling,"Jams, syrups, toppings",181.0,0.41,44.38,0.2,0.8,0.7,0.22651933701657456
"Muffins, blueberry, toaster-type",Baked Products,1310.0,4.6,53.3,9.5,0.51,0.0,0.3511450381679389
"Pie fillings, blueberry, canned",Sweets,757.0,0.41,44.4,0.2,0.8,0.7,0.05416116248348745
"Pie, blueberry, commercially prepared",Baked Products,971.0,1.8,34.9,10.0,0.3,2.7,0.18537590113285274
SILK Blueberry soy yogurt,Legumes and Legume Products,88.0,2.35,17.1,1.18,0.64,17.6,2.670454545454546
"Yogurt, Greek, Blueberry, CHOBANI",Dairy and Egg Products,82.0,7.23,12.8,0.24,0.15,0.3,8.817073170731708
Potato patty,French fries and other fried white potatoes,171.0,3.89,13.49,11.32,0.75,0.5,2.2748538011695905
"Soup, potato","Soups, cream-based",90.0,1.51,10.53,4.71,0.34,7.1,1.6777777777777776
Potato pancake,Mashed potatoes and white potato mixtures,196.0,4.47,20.64,10.8,1.3,15.6,2.2806122448979593
Stewed potatoes,Mashed potatoes and white potato mixtures,103.0,1.99,16.26,3.39,0.38,15.1,1.9320388349514563
"Potato, NFS","White potatoes, baked or boiled",126.0,1.87,20.45,4.25,0.34,12.1,1.4841269841269842
"Bread, potato",Baked Products,1120.0,12.5,47.1,3.13,2.25,0.0,1.1160714285714286
"Gnocchi, potato","Pasta mixed dishes, excludes macaroni and cheese",135.0,2.44,17.2,6.33,0.83,1.9,1.8074074074074071
Potato flour,Vegetables and Vegetable Products,357.0,6.9,83.1,0.34,1.38,3.8,1.9327731092436975
Potato pancakes,Vegetables and Vegetable Products,268.0,6.08,27.8,14.8,1.67,27.6,2.268656716417911
"Soup, potato with meat","Soups, cream-based",109.0,3.78,8.81,6.43,0.48,5.5,3.4678899082568804
"Potato tots, NFS",French fries and other fried white potatoes,237.0,1.9,24.4,15.46,0.47,6.4,0.8016877637130801
"Potato tots, school",French fries and other fried white potatoes,166.0,2.02,19.34,9.16,0.66,10.1,1.216867469879518
Sweet potato tots,Fried vegetables,191.0,2.26,37.3,9.35,0.81,7.5,1.1832460732984293
"Potato, boiled, NFS","White potatoes, baked or boiled",126.0,1.87,20.45,4.25,0.34,12.1,1.4841269841269842
"Potato chips, NFS",Potato chips,532.0,6.39,53.83,33.98,1.28,21.6,1.2011278195488722
"Potato chips, plain",Potato chips,532.0,6.39,53.83,33.98,1.28,21.6,1.2011278195488722
"Potato chips, unsalted",Potato chips,537.0,6.25,59.66,30.3,1.19,22.6,1.1638733705772812
"Potato sticks, flavored",Potato chips,517.0,6.63,52.77,34.06,2.25,46.8,1.2823984526112184
"Bread, sweet potato",Yeast breads,241.0,8.64,45.38,2.87,3.14,4.1,3.5850622406639006
"Pie, sweet potato",Cakes and pies,269.0,4.96,41.08,9.75,1.06,10.3,1.8438661710037174
Sweet potato chips,"Tortilla, corn, other chips",529.0,2.92,56.54,32.19,2.11,0.0,0.551984877126654
Sweet potato paste,"Jams, syrups, toppings",305.0,0.49,75.14,0.34,0.16,3.9,0.16065573770491803
"Sweet potato, candied",Other red and orange vegetables,187.0,1.18,37.69,3.48,0.31,9.3,0.6310160427807486
"Sweet potato, NFS",Other red and orange vegetables,115.0,1.58,17.14,4.53,0.4,12.4,1.373913043478261
"Sweet potato tots, school",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,1.1822916666666667
"Sweet potato, casserole or mashed",Other red and orange vegetables,99.0,1.89,17.22,2.56,0.34,10.4,1.909090909090909
"Bread, sweet potato, toasted",Yeast breads,265.0,9.5,49.87,3.15,3.45,3.8,3.5849056603773586
"Sweet potato fries, frozen",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,1.1822916666666667
"Sweet potato fries, NFS",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,1.1822916666666667
"Sweet potato fries, school",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,1.1822916666666667
"Sweet potato leaves, raw",Vegetables and Vegetable Products,175.0,2.49,8.82,0.51,0.97,11.0,1.4228571428571428
"Sweet potato, canned, mashed",Vegetables and Vegetable Products,101.0,1.98,23.2,0.2,1.33,5.2,1.9603960396039604
"Sweet potato, cooked, as ingredient",Not included in a food category,82.0,1.65,18.05,0.4,0.42,13.1,2.0121951219512195
"Tomatoes, raw",Tomatoes,20.0,0.82,4.04,0.31,0.22,16.3,4.1
Guacamole with tomatoes,"Dips, gravies, other sauces",145.0,1.87,8.09,13.09,0.52,10.5,1.289655172413793
"Soup, tomato","Soups, broth-based",19.0,0.65,3.64,0.41,0.44,5.9,3.421052631578948
"Tomatoes, scalloped",Vegetable dishes,110.0,2.7,14.1,4.97,0.89,12.2,2.4545454545454546
"Tomato products, canned, sauce, with tomato tidbits",Vegetables and Vegetable Products,134.0,1.32,7.09,0.39,0.68,21.5,0.9850746268656717
Sun-dried tomatoes,Tomatoes,258.0,14.11,55.76,2.97,9.09,39.2,5.468992248062015
"Tomatoes, red, ripe, canned, packed in tomato juice",Vegetables and Vegetable Products,16.0,0.79,3.47,0.25,0.57,12.6,4.9375
